base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,Competitive,Cooperative,8bit_vector,4bit_orig,norm,norm_desc,variant_id,Emotion_Leniency,DNF,DNF_literals
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,23.632,0.02,0.02,0.08,0.88,0.9,0.1,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,28.787,0.0,0.14,0.0,0.86,0.86,0.14,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,35.386,0.06,0.02,0.0,0.92,0.92,0.08,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,24.501,0.0,0.1,0.28,0.62,0.62,0.38,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,24.417,0.0,0.0,0.02,0.98,1.0,0.0,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,26.651,0.0,0.02,0.04,0.94,0.94,0.06,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,33.181,0.06,0.14,0.0,0.8,0.8,0.2,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,32.765,0.44,0.54,0.02,0.0,0.44,0.56,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,32.482,0.02,0.04,0.02,0.92,0.08,0.92,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,31.129,0.02,0.06,0.0,0.92,0.92,0.08,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
