variant_id,DNF_literals,Emotion_Leniency,gamma_center,is_base,avg_coop,std_coop,DNF,avg_coop_percent,std_coop_percent
ImageScoring_v16,4,0.0,0.0,False,30.414900000000003,6.0522704029655054,(A & E) | (~A & ~E),30.414900000000003,6.0522704029655054
ImageScoring_v16,4,0.0,0.1,False,18.3212,5.5848559406264915,(A & E) | (~A & ~E),18.3212,5.5848559406264915
ImageScoring_v16,4,0.0,0.2,False,9.14868,2.5011511508070985,(A & E) | (~A & ~E),9.14868,2.5011511508070985
ImageScoring_v16,4,0.0,0.3,False,6.370836734693877,1.2767245419911255,(A & E) | (~A & ~E),6.370836734693877,1.2767245419911255
ImageScoring_v16,4,0.0,0.4,False,5.6867399999999995,0.5550691374477044,(A & E) | (~A & ~E),5.6867399999999995,0.5550691374477044
ImageScoring_v16,4,0.0,0.5,False,5.55302,0.4325005362742929,(A & E) | (~A & ~E),5.55302,0.4325005362742929
ImageScoring_v16,4,0.0,0.6,False,5.816599999999999,0.42499162056565337,(A & E) | (~A & ~E),5.816599999999999,0.42499162056565337
ImageScoring_v16,4,0.0,0.7,False,12.60944,2.5336179033153363,(A & E) | (~A & ~E),12.60944,2.5336179033153363
ImageScoring_v16,4,0.0,0.8,False,20.26634,2.503519103671665,(A & E) | (~A & ~E),20.26634,2.503519103671665
ImageScoring_v16,4,0.0,0.9,False,22.91544,2.614276745964321,(A & E) | (~A & ~E),22.91544,2.614276745964321
ImageScoring_v16,4,0.0,1.0,False,24.40022,2.5343275426569054,(A & E) | (~A & ~E),24.40022,2.5343275426569054
ImageScoring_v2,4,0.75,0.0,False,30.430860000000003,5.872811807900915,(A & E) | (A & ~R),30.430860000000003,5.872811807900915
ImageScoring_v2,4,0.75,0.1,False,26.253919999999997,6.733199881670719,(A & E) | (A & ~R),26.253919999999997,6.733199881670719
ImageScoring_v2,4,0.75,0.2,False,27.48846,8.169767056879497,(A & E) | (A & ~R),27.48846,8.169767056879497
ImageScoring_v2,4,0.75,0.3,False,26.358539999999998,8.095954495440601,(A & E) | (A & ~R),26.358539999999998,8.095954495440601
ImageScoring_v2,4,0.75,0.4,False,22.69714,6.818887939767162,(A & E) | (A & ~R),22.69714,6.818887939767162
ImageScoring_v2,4,0.75,0.5,False,22.32206,6.662446322209773,(A & E) | (A & ~R),22.32206,6.662446322209773
ImageScoring_v2,4,0.75,0.6,False,21.330659999999998,7.202627881005994,(A & E) | (A & ~R),21.330659999999998,7.202627881005994
