gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.5,4,17.053704000000003,12.609412678820666,5,4.444291321179337,29.66311667882067
0.5,5,9.75611,4.627484433220382,2,5.1286255667796175,14.383594433220381
0.5,6,6.78675,4.557607035096778,2,2.2291429649032217,11.344357035096778
0.5,7,13.642740000000002,9.204582262035895,2,4.438157737964106,22.847322262035895
0.6,1,30.52038,6.728641379345219,1,23.79173862065478,37.249021379345216
0.6,2,17.50259,10.524449732101688,2,6.978140267898313,28.02703973210169
0.6,3,14.264180000000001,9.45828689763531,2,4.805893102364692,23.72246689763531
0.6,4,16.05554,12.322214012794479,5,3.7333259872055216,28.37775401279448
0.6,5,8.38868,3.250024366280065,2,5.138655633719935,11.638704366280066
0.6,6,7.88563,5.6345339094612505,2,2.2510960905387494,13.52016390946125
0.6,7,14.730640000000001,13.369838036476589,2,1.3608019635234125,28.100478036476588
0.7,1,30.40302,7.2263951085515625,1,23.17662489144844,37.62941510855156
0.7,2,32.83399,10.694339746616455,2,22.139650253383543,43.52832974661646
0.7,3,14.7281,13.885578011633932,2,0.8425219883660677,28.61367801163393
0.7,4,16.975676,12.374569904295223,5,4.601106095704777,29.35024590429522
0.7,5,7.03748,1.7414843516582936,2,5.295995648341707,8.778964351658294
0.7,6,26.569409999999998,13.329633397320787,2,13.23977660267921,39.89904339732078
0.7,7,17.03734,18.43508744200427,2,-1.3977474420042704,35.472427442004275
0.8,1,30.925720000000002,6.924691084364527,1,24.001028915635473,37.85041108436453
0.8,2,34.33688,10.815418619020091,2,23.521461380979908,45.152298619020094
0.8,3,13.87556,14.039967020105728,2,-0.1644070201057275,27.915527020105728
0.8,4,17.776984,12.102721460346466,5,5.674262539653533,29.879705460346464
0.8,5,6.3719,1.0728721152856822,2,5.299027884714318,7.444772115285682
0.8,6,34.56689,13.065882382844386,2,21.501007617155615,47.63277238284439
0.8,7,18.74011,19.754415134622697,2,-1.0143051346226954,38.4945251346227
0.9,1,29.29804,5.703438057157869,1,23.594601942842132,35.00147805715787
0.9,2,33.98991,12.069091008004493,2,21.92081899199551,46.05900100800449
0.9,3,17.51559,20.615776276353667,2,-3.100186276353668,38.13136627635367
0.9,4,17.87938,11.430841749231947,5,6.448538250768054,29.31022174923195
0.9,5,6.081180000000001,0.8009845252543709,2,5.2801954747456294,6.882164525254372
0.9,6,34.81465,10.745790792917546,2,24.068859207082454,45.56044079291755
0.9,7,21.003490000000003,24.26193294592635,2,-3.2584429459263475,45.26542294592635
1.0,1,29.7892,7.249121410522092,1,22.540078589477908,37.038321410522094
1.0,2,33.46993,10.979279413030433,2,22.490650586969565,44.44920941303043
1.0,3,19.99818,24.685842607044993,2,-4.687662607044992,44.684022607044994
1.0,4,19.0706,13.165326653889544,5,5.905273346110455,32.23592665388954
1.0,5,5.889349999999999,0.9727377211984862,2,4.916612278801513,6.862087721198486
1.0,6,33.97293,9.425400160575123,2,24.547529839424875,43.39833016057512
1.0,7,20.24562,23.067147397679296,2,-2.821527397679297,43.312767397679295
