8bit_vector,DNF,DNF_literals,Emotion_Leniency
11000110,(E & ~R) | (~A & ~R) | (A & R & ~E),7,0.5
11000111,(A & R) | (E & ~R) | (~A & ~R),6,0.75
11001000,(~A & ~R) | (~E & ~R),4,0.75
11001001,(A & E & R) | (~A & ~R) | (~E & ~R),7,0.5
11001010,(A & ~E) | (~A & ~R),4,0.5
11001011,(A & R) | (~A & ~R) | (~E & ~R),6,0.75
11001100,~R,1,1.0
11001101,~R | (A & E),3,0.75
11001110,~R | (A & ~E),3,0.75
11001111,A | ~R,2,1.0
11010000,(E & ~A) | (~A & ~R),4,0.75
11010001,(E & R) | (~A & ~R),4,0.5
11010010,(E & ~A) | (~A & ~R) | (A & R & ~E),7,0.5
11010011,(A & R) | (E & ~A) | (~A & ~R),6,0.75
11010100,(E & ~A) | (E & ~R) | (~A & ~R),6,0.5
11010101,E | (~A & ~R),3,0.25
11010110,(E & ~A) | (E & ~R) | (~A & ~R) | (A & R & ~E),9,0.25
11010111,E | (A & R) | (~A & ~R),5,0.5
11011000,(E & ~A) | (~E & ~R),4,0.5
11011001,(E & R) | (~A & ~R) | (~E & ~R),6,0.25
11011010,(A & ~E) | (E & ~A) | (~A & ~R),6,0.25
11011011,(E & R) | (A & ~E) | (~A & ~R),6,0.5
11011100,~R | (E & ~A),3,0.75
11011101,E | ~R,2,0.5
11011110,~R | (A & ~E) | (E & ~A),5,0.5
11011111,A | E | ~R,3,0.75
11100000,(~A & ~E) | (~A & ~R),4,0.75
11100001,(A & E & R) | (~A & ~E) | (~A & ~R),7,0.5
11100010,(R & ~E) | (~A & ~R),4,0.5
11100011,(A & R) | (~A & ~E) | (~A & ~R),6,0.75
11100100,(E & ~R) | (~A & ~E),4,0.5
11100101,(A & E) | (~A & ~E) | (~A & ~R),6,0.25
11100110,(E & ~R) | (R & ~E) | (~A & ~E),6,0.25
11100111,(A & R) | (E & ~R) | (~A & ~E),6,0.5
11101000,(~A & ~E) | (~A & ~R) | (~E & ~R),6,0.5
11101001,(A & E & R) | (~A & ~E) | (~A & ~R) | (~E & ~R),9,0.25
11101010,~E | (~A & ~R),3,0.25
11101011,~E | (A & R) | (~A & ~R),5,0.5
11101100,~R | (~A & ~E),3,0.75
11101101,~R | (A & E) | (~A & ~E),5,0.5
11101110,~E | ~R,2,0.5
11101111,A | ~E | ~R,3,0.75
11110000,~A,1,1.0
11110001,~A | (E & R),3,0.75
11110010,~A | (R & ~E),3,0.75
11110011,R | ~A,2,1.0
11110100,~A | (E & ~R),3,0.75
11110101,E | ~A,2,0.5
11110110,~A | (E & ~R) | (R & ~E),5,0.5
11110111,E | R | ~A,3,0.75
11111000,~A | (~E & ~R),3,0.75
11111001,~A | (E & R) | (~E & ~R),5,0.5
11111010,~A | ~E,2,0.5
11111011,R | ~A | ~E,3,0.75
11111100,~A | ~R,2,1.0
11111101,E | ~A | ~R,3,0.75
11111110,~A | ~E | ~R,3,0.75
11111111,True,0,1.0
