norm,variant_id,4bit orig,8bit vector,DBmean,DBnice,DGmean,DGnice,CBmean,CBnice,CGmean,CGnice,DNF,Emotio  Leniency,DNF_literals,Gamma,,,,,,,,,,,Sparkline,DIFFERENCES TO BASELINE,,,,,,,,,,
,Shunning_v3,0001,00001011,0,0,0,0,1,0,1,1,(A & R) | (A & ~E),0.75,4,4.39922,6.2755,13.86184,38.453673,45.0279,47.789469,46.69982,44.08966,44.261854,38.44114,36.519408,,0.02034,1.88904,9.4391,34.032973,40.62008,43.411992,42.27256,39.62364,39.870574,34.03708,32.111388
,Shunning_v5,0001,00010011,0,0,0,1,0,0,1,1,(A & R) | (E & R),0.75,4,4.3849,4.39102,4.47024,4.39732,4.40054,4.41706,4.4438,4.43284,4.410872,4.37228,4.40928,,0.00602,0.00456,0.0475,-0.02338,-0.00728,0.039583,0.01654,-0.03318,0.019592,-0.03178,0.00126
,Shunning_v9,0001,01000011,0,1,0,0,0,0,1,1,(A & R) | (E & ~A & ~R),0.75,5,4.39544,62.48232,77.2535,68.804217,73.896889,84.26156,72.97856,85.78064,88.039367,90.174061,90.401082,,0.01656,58.09586,72.83076,64.383517,69.489069,79.884083,68.5513,81.31462,83.648087,85.770001,85.993062
,Shunning_v4,0001,00001001,0,0,0,0,1,0,0,1,(A & E & R) | (A & ~E & ~R),0.5,6,4.40208,5.67798,9.1066,17.61076,26.97374,32.04694,34.5662,30.20564,23.90464,19.14456,16.55842,,0.0232,1.29152,4.68386,13.19006,22.56592,27.669463,30.13894,25.73962,19.51336,14.7405,12.1504
,Shunning_v6,0001,00010001,0,0,0,1,0,0,0,1,E & R,0.5,2,4.41406,4.37738,4.38172,4.43836,4.37514,4.39124,4.4203,4.41884,4.45038,4.4378,4.38898,,0.03518,-0.00908,-0.04102,0.01766,-0.03268,0.013763,-0.00696,-0.04718,0.0591,0.03374,-0.01904
,Shunning_v7,0001,00011011,0,0,0,1,1,0,1,1,(E & R) | (A & ~E),0.5,4,4.40736,6.30176,14.11746,27.96366,33.44436,26.35556,17.378469,10.65494,7.838653,6.403,5.58084,,0.02848,1.9153,9.69472,23.54296,29.03654,21.978083,12.951209,6.18892,3.447373,1.99894,1.17282
,Shunning_v10,0001,01000001,0,1,0,0,0,0,0,1,(A & E & R) | (E & ~A & ~R),0.5,6,4.422542,58.64892,70.61868,71.75418,70.15446,80.03436,72.44594,86.01076,80.50202,85.0106,90.28742,,0.043662,54.26246,66.19594,67.33348,65.74664,75.656883,68.01868,81.54474,76.11074,80.60654,85.8794
,Shunning_v11,0001,01001011,0,1,0,0,1,0,1,1,(A & R) | (A & ~E) | (E & ~A & ~R),0.5,7,4.4218,67.97206,67.658388,63.99892,56.2811,50.28766,40.7775,40.08158,38.91112,34.28156,35.43496,,0.04292,63.5856,63.235648,59.57822,51.87328,45.910183,36.35024,35.61556,34.51984,29.8775,31.02694
,Shunning_v13,0001,01010011,0,1,0,1,0,0,1,1,(A & R) | (E & ~A),0.5,4,4.408488,61.63192,68.71744,69.8038,58.862102,61.99534,72.9608,68.80922,55.03148,52.1668,51.80266,,0.029608,57.24546,64.2947,65.3831,54.454282,57.617863,68.53354,64.3432,50.6402,47.76274,47.39464
,Shunning_v8,0001,00011001,0,0,0,1,1,0,0,1,(E & R) | (A & ~E & ~R),0.25,5,4.45742,5.65106,9.27192,13.82876,20.76018,22.07734,16.69286,9.90222,7.46044,6.46832,6.19932,,0.07854,1.2646,4.84918,9.40806,16.35236,17.699863,12.2656,5.4362,3.06916,2.06426,1.7913
,Shunning_v12,0001,01001001,0,1,0,0,1,0,0,1,(A & E & R) | (A & ~E & ~R) | (E & ~A & ~R),0.25,9,4.3768,61.300867,67.49002,75.53952,72.04086,68.52094,71.66506,75.43384,77.723583,72.37832,61.99206,,-0.00208,56.914407,63.06728,71.11882,67.63304,64.143463,67.2378,70.96782,73.332303,67.97426,57.58404
,Shunning_v14,0001,01010001,0,1,0,1,0,0,0,1,(E & R) | (E & ~A),0.25,4,4.4267,64.34588,69.03714,68.93956,63.65496,64.424571,77.32794,81.29066,74.8976,67.94824,61.1422,,0.04782,59.95942,64.6144,64.51886,59.24714,60.047094,72.90068,76.82464,70.50632,63.54418,56.73418
,Shunning_v15,0001,01011011,0,1,0,1,1,0,1,1,(E & R) | (A & ~E) | (E & ~A),0.25,6,4.38352,59.14274,70.45222,52.00164,32.30694,20.45484,27.51322,52.07658,48.21604,47.48712,43.60918,,0.00464,54.75628,66.02948,47.58094,27.89912,16.077363,23.08596,47.61056,43.82476,43.08306,39.20116
,Shunning_v16,0001,01011001,0,1,0,1,1,0,0,1,(E & R) | (E & ~A) | (A & ~E & ~R),0,7,4.43052,59.8347,64.95982,66.23208,54.3708,49.09694,51.88022,72.07824,66.61574,61.46254,56.41656,,0.05164,55.44824,60.53708,61.81138,49.96298,44.719463,47.45296,67.61222,62.22446,57.05848,52.00854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
