base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.057,0.135,0.475,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.885,0.115,0.5,0.0,0.0,0.075,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.94,0.107,0.55,0.0,0.075,0.025,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.341,0.148,0.5,0.025,0.075,0.0,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.49,0.135,0.425,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.007,0.123,0.475,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.389,0.138,0.45,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.713,0.145,0.5,0.0,0.05,0.0,0.95,0.3,0.7
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.443,0.125,0.475,0.05,0.1,0.0,0.85,0.15,0.85
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.984,0.115,0.375,0.0,0.0,0.05,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.471,0.133,0.475,0.025,0.0,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.29,0.105,0.3,0.05,0.0,0.025,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.821,0.15,0.475,0.025,0.025,0.2,0.75,0.75,0.25
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.495,0.125,0.425,0.025,0.0,0.025,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.019,0.12,0.5,0.0,0.075,0.05,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.581,0.14,0.275,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.316,0.135,0.525,0.025,0.0,0.025,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.063,0.113,0.425,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.328,0.155,0.475,0.075,0.0,0.0,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.71,0.155,0.475,0.0,0.25,0.025,0.725,0.28,0.72
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.303,0.113,0.45,0.05,0.0,0.0,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.905,0.118,0.425,0.0,0.05,0.0,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.446,0.11,0.35,0.025,0.05,0.0,0.925,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.309,0.115,0.475,0.075,0.05,0.125,0.75,0.75,0.25
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.822,0.107,0.525,0.025,0.025,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.614,0.103,0.325,0.075,0.1,0.075,0.75,0.2,0.8
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.39,0.128,0.45,0.0,0.025,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.674,0.115,0.425,0.0,0.1,0.225,0.675,0.68,0.33
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.52,0.113,0.325,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.064,0.135,0.325,0.05,0.0,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.127,0.115,0.5,0.0,0.05,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.123,0.125,0.325,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.995,0.118,0.325,0.0,0.05,0.25,0.7,0.17,0.82
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.337,0.12,0.4,0.0,0.05,0.0,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.2,0.105,0.45,0.0,0.075,0.0,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.723,0.12,0.6,0.0,0.1,0.0,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.72,1.0,0.9,0.175,0.775,0.025,0.025,0.23,0.78
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.801,1.0,0.9,0.0,1.0,0.0,0.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.994,1.0,0.95,0.05,0.925,0.025,0.0,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,91.012,1.0,0.95,0.025,0.975,0.0,0.0,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.982,1.0,0.85,0.0,0.95,0.025,0.025,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.966,1.0,0.1,0.05,0.025,0.925,0.0,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,91.059,1.0,0.8,0.125,0.85,0.0,0.025,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.927,1.0,0.1,0.05,0.0,0.95,0.0,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.935,1.0,0.075,0.0,0.025,0.95,0.025,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.784,1.0,0.925,0.025,0.975,0.0,0.0,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,91.101,1.0,0.1,0.075,0.025,0.875,0.025,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.936,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
