base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.487,0.102,0.55,0.0,0.125,0.025,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.946,0.098,0.45,0.025,0.1,0.05,0.825,0.82,0.17
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.677,0.11,0.4,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.151,0.12,0.45,0.025,0.0,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.23,0.12,0.575,0.025,0.0,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.263,0.143,0.45,0.05,0.025,0.05,0.875,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.972,0.125,0.35,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.429,0.153,0.55,0.0,0.0,0.025,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.067,0.14,0.525,0.0,0.025,0.0,0.975,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.011,0.12,0.45,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.083,0.125,0.325,0.025,0.225,0.175,0.575,0.25,0.75
